mode,loop,conns,rep,established,rate_achieved,p50_us,p90_us,p99_us,p999_us,max_us,errors,drops,timeouts,mismatch,peak_conns,rss_base_kb,rss_peak_kb,bytes_per_conn,srv_user_s,srv_sys_s,srv_requests
epoll,open,100,1,100,100000,16.5,36.9,154.8,516.9,5130.7,0,0,0,0,100,1564,1888,3318,0.575,6.309,1300000
epoll,open,100,2,100,100000,16.8,40.2,181.9,1490.0,9769.6,0,0,0,0,100,1556,1880,3318,0.723,6.008,1300000
epoll,open,100,3,100,100000,17.0,46.0,150.5,581.9,3019.8,0,0,0,0,100,1552,1876,3318,0.640,6.586,1300000
epoll,closed,100,1,100,131771,753.5,868.3,1050.4,1453.4,2035.3,0,0,0,0,100,1556,1880,3318,0.400,12.643,1709987
epoll,closed,100,2,100,130386,762.3,878.6,1034.5,1783.8,3491.4,0,0,0,0,100,1560,1884,3318,0.526,12.604,1720680
epoll,closed,100,3,100,127776,777.3,889.5,1119.6,1895.2,5120.9,0,0,0,0,100,1564,1888,3318,0.548,12.511,1673629
epoll,open,1000,1,1000,100000,13.7,22.5,114.9,505.2,1748.9,0,0,0,0,1000,1560,2884,1356,0.655,5.633,1300000
epoll,open,1000,2,1000,100000,13.8,22.9,119.3,368.2,1365.6,0,0,0,0,1000,1560,2884,1356,0.717,5.541,1300000
epoll,open,1000,3,1000,100000,14.9,30.5,155.1,2623.6,4355.2,0,0,0,0,1000,1560,2884,1356,0.690,6.055,1300000
epoll,closed,1000,1,1000,121468,8165.1,8975.1,9789.8,11227.9,12389.8,0,0,0,0,1000,1560,2884,1356,0.492,12.579,1552770
epoll,closed,1000,2,1000,118173,8416.9,9297.8,10198.0,12567.7,14152.9,0,0,0,0,1000,1548,2872,1356,0.509,12.566,1523327
epoll,closed,1000,3,1000,120422,8220.6,9013.0,10581.9,12398.3,13320.1,0,0,0,0,1000,1560,2884,1356,0.620,12.449,1530746
epoll,open,10000,1,10000,100000,17.6,49.0,176.8,1063.3,3945.3,0,0,0,0,10000,1564,12872,1158,0.859,6.920,1300000
epoll,open,10000,2,10000,100000,16.2,37.4,139.9,332.5,2480.4,0,0,0,0,10000,1560,12868,1158,0.593,6.664,1300000
epoll,open,10000,3,10000,100000,16.1,36.6,156.5,757.9,3884.6,0,0,0,0,10000,1556,12864,1158,0.706,6.800,1300000
epoll,closed,10000,1,10000,126684,78625.3,83961.1,88668.5,91845.6,93256.6,0,0,0,0,10000,1560,12868,1158,0.563,12.591,1593269
epoll,closed,10000,2,10000,137075,72899.3,77651.9,81145.3,83226.4,83937.6,0,0,0,0,10000,1564,12872,1158,0.658,12.528,1726223
epoll,closed,10000,3,10000,130517,76482.3,81661.4,84719.6,88401.8,89600.9,0,0,0,0,10000,1564,12872,1158,0.603,12.567,1648473
thread,open,100,1,100,100000,17.6,27.3,131.7,423.1,3367.0,0,0,0,0,100,1564,3000,14705,0.880,7.005,1300000
thread,open,100,2,100,100000,17.5,22.9,100.0,383.9,1640.3,0,0,0,0,100,1556,2992,14705,0.975,6.766,1300000
thread,open,100,3,100,100000,17.7,32.5,157.0,355.2,1219.1,0,0,0,0,100,1564,3000,14705,0.717,7.374,1300000
thread,closed,100,1,100,240514,308.0,690.3,1191.0,3430.6,45477.1,0,0,0,0,100,1556,2992,14705,1.223,24.862,3116099
thread,closed,100,2,100,233868,358.8,678.7,1107.2,2463.1,55314.2,0,0,0,0,100,1560,2996,14705,1.140,24.957,3053754
thread,closed,100,3,100,236042,334.1,682.9,1116.2,3101.3,74531.3,0,0,0,0,100,1560,3124,16015,1.064,25.037,3090147
thread,open,1000,1,1000,100000,19.8,31.3,120.6,431.9,3145.5,0,0,0,0,1000,1560,12084,10777,0.476,9.440,1300000
thread,open,1000,2,1000,100000,19.7,34.4,132.4,411.4,1697.7,0,0,0,0,1000,1560,12084,10777,0.634,9.241,1300000
thread,open,1000,3,1000,100000,20.0,33.5,116.7,417.9,1633.3,0,0,0,0,1000,1564,12088,10777,1.847,8.635,1300000
thread,closed,1000,1,1000,181679,5224.1,8027.7,13468.6,35200.5,848265.8,0,0,0,0,1000,1564,12144,10834,1.244,24.908,2493552
thread,closed,1000,2,1000,185449,5312.0,7797.7,11951.8,30460.6,817414.8,0,0,0,0,1000,1560,12172,10867,1.415,24.718,2480315
thread,closed,1000,3,1000,180561,5453.8,8040.9,13268.6,34940.0,1420598.9,0,0,0,0,1000,1560,12084,10777,1.356,24.780,2415280
thread,open,10000,1,10000,90600,21.2,33.7,139.4,1386.5,7033.0,940,0,547,0,9060,1556,92268,10253,1.113,8.689,1177800
thread,open,10000,2,10000,90600,21.0,27.3,132.0,1545.3,8602.6,940,0,940,0,9060,1556,92216,10247,0.703,9.348,1177800
thread,open,10000,3,10000,90600,23.9,135.1,516.3,877.5,2344.0,940,0,940,0,9060,1564,92276,10253,1.616,12.185,1177800
thread,closed,10000,1,10000,159908,36796.4,76143.4,124722.7,260791.6,2087355.4,0,0,0,0,8964,1564,91368,10259,1.593,25.176,2089171
thread,closed,10000,2,10000,160026,35560.1,70828.1,115362.5,259310.0,1796896.4,201,0,201,0,9060,1564,92220,10246,1.387,25.347,2095576
thread,closed,10000,3,10000,161100,29683.3,62702.8,129888.6,239182.0,2350054.9,454,0,454,0,9060,1564,92288,10254,1.361,25.539,2123751
